,show_id,type,title,director,country/region,date_added,release_year,rating,duration1,duration,listed_in1,listed_in,description
443,81161487,TV Show,My Country: The New Age,,South Korea,2019,2019,TV-14,1 Season,1,"International TV Shows, Korean TV Shows, TV Action & Adventure",International TV Shows,"At the end of the Goryeo period, there were those who led the charge to proclaim a new age _ and the ordinary individuals who risked everything."
446,80198511,TV Show,Dancing Queen,,,2018,2018,TV-14,1 Season,1,Reality TV,Reality TV,Snatching trophies. Getting gorgeous. Turning it up. Alyssa Edwards rules the dance studio by day _ and the drag world by night.
448,80240840,TV Show,Empire Games,,"Czech Republic, United States",2018,2018,TV-14,1 Season,1,Docuseries,Docuseries,Interviews with scholars and dramatic reenactments bring to life the origins and history-making achievements of the world's greatest ancient empires.
449,80191369,TV Show,LOST SONG,,Japan,2018,2018,TV-14,1 Season,1,"Anime Series, International TV Shows",Anime Series,"War looms over the kingdom of Neunatia, where two young women are both burdened and blessed by the power of song."
453,80220650,TV Show,YG Future Strategy Office,,South Korea,2018,2018,TV-MA,1 Season,1,"International TV Shows, Korean TV Shows, TV Comedies",International TV Shows,"K-pop star Seungri, BIGBANG's youngest member, tries to lead a team of bumbling staff at YG's Future Strategy Office in this mockumentary sitcom."
458,80117803,TV Show,Raising Dion,,United States,2019,2019,TV-PG,1 Season,1,"Kids' TV, TV Action & Adventure, TV Dramas",Kids' TV,A widowed mom sets out to solve the mystery surrounding her young son's emerging superpowers while keeping his extraordinary gifts under wraps.
463,81010662,TV Show,Violet Evergarden: Special,,Japan,2018,2018,TV-PG,1 Season,1,"Anime Series, International TV Shows, Romantic TV Shows",Anime Series,"Auto Memory Doll Violet Evergarden writes letters for people who can__, learning about her war-torn country and her own hardened heart along the way."
466,80203920,TV Show,Nowhere Man,DJ Chen,Taiwan,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Action & Adventure",Crime TV Shows,"Two nefarious schemes taking place 10 years apart entangle a dauntless triad member, who must break out of prison to rescue a loved one."
467,80242051,TV Show,Sleepless Society: Bedtime Wishes,,,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,"During a holiday stay at a hotel resort, a flight attendant encounters a wealthy, mysterious man with two different personas."
472,80204927,TV Show,Zumbo's Just Desserts,,Australia,2017,2016,TV-14,1 Season,1,"International TV Shows, Reality TV",International TV Shows,"Dessert wizard Adriano Zumbo looks for the next __illy Wonka_ in this tense competition that finds skilled amateurs competing for a $100,000 prize."
474,81166978,TV Show,"Bring It On, Ghost",Park Joon-hwa,South Korea,2019,2016,TV-14,1 Season,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",International TV Shows,A college student with psychic abilities takes in an amnesiac ghost as his roommate _ who ends up helping him hunt down spooky spirits.
476,81167029,TV Show,Tomorrow with You,,South Korea,2019,2017,TV-14,1 Season,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",International TV Shows,The head of a real estate firm with the ability to travel through time by taking the subway marries a photographer to try and change his future.
477,81142594,TV Show,Tunnel,,,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,A detective finds himself 30 years in the future and must solve a string of grisly crimes before he can return to the past.
481,80987753,TV Show,The Degenerates,,,2018,2018,TV-MA,1 Season,1,"Stand-Up Comedy & Talk Shows, TV Comedies",Stand-Up Comedy & Talk Shows,Six stand-ups explore the coarse and salacious side of comedy in this series of half-hour specials. For mature audiences.
485,80217066,TV Show,Seis Manos,,United States,2019,2019,TV-MA,1 Season,1,"Anime Series, Crime TV Shows",Anime Series,"Orphans raised by a martial arts master are plunged into a mystery involving demonic powers, drug cartels, ancient rituals and blood sacrifice."
493,81169914,TV Show,Shine On with Reese,,United States,2019,2018,TV-14,1 Season,1,Docuseries,Docuseries,"In a talk show straight from the heart, actor and producer Reese Witherspoon visits with groundbreaking women to discuss their inspiring journeys."
505,80094260,TV Show,Trailer Park Boys: Out of the Park: Europe,,Canada,2016,2016,TV-MA,1 Season,1,"International TV Shows, TV Comedies",International TV Shows,"The Trailer Park Boys are thrilled to get a free trip to Europe, until they arrive and learn about their corporate sponsor's unusual requirements."
507,81197399,TV Show,"Wait, My Youth",,,2019,2019,TV-PG,1 Season,1,"International TV Shows, Romantic TV Shows, Teen TV Shows",International TV Shows,"Six hopeful friends journey into adulthood to create the moments that pull them together, draw them apart and make them fall in love."
510,80197912,TV Show,Beyond Stranger Things,,United States,2017,2017,TV-14,1 Season,1,"Stand-Up Comedy & Talk Shows, TV Mysteries, TV Sci-Fi & Fantasy",Stand-Up Comedy & Talk Shows,"Secrets from the ""Stranger Things 2"" universe are revealed as cast and guests discuss the latest episodes with host Jim Rash. Caution: spoilers ahead!"
514,81185502,TV Show,A Little Thing Called First Love,,China,2019,2019,TV-G,1 Season,1,"International TV Shows, Romantic TV Shows, Teen TV Shows",International TV Shows,A shy college student with a knack for drawing develops a crush on a musically gifted classmate and embarks on a journey of self-discovery.
522,80185048,TV Show,Terrorism Close Calls,,"United States, Czech Republic",2018,2018,TV-MA,1 Season,1,"Crime TV Shows, Docuseries, International TV Shows",Crime TV Shows,Law enforcement officials look back on attempted terrorist attacks that were thwarted in the nick of time.
527,80221210,TV Show,Brotherhood,,Brazil,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,"An honest lawyer reaches a moral crossroads after the cops force her to inform on her incarcerated brother, the leader of a rising criminal faction."
530,81010786,TV Show,Drug Squad: Costa del Sol,,Spain,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows,Four intrepid and impulsive police officers form a special narcotics unit to combat the birth of drug trafficking on Spain's Costa del Sol in the 1970s.
532,81105406,TV Show,Monz_³n: A Knockout Blow,,Argentina,2019,2018,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows,"This dramatization tells the story of Argentine boxing champion Carlos Monz_³n, as well as the investigation into the death of his wife Alicia Mu_±iz."
534,81061828,TV Show,Nailed It! France,,France,2019,2019,TV-14,1 Season,1,"International TV Shows, Reality TV",International TV Shows,"On this fun and funny competition show, home bakers talented in catastrophe struggle to re-create dessert masterpieces and win a 5,000 euro prize."
535,81062582,TV Show,Nailed It! Spain,,Spain,2019,2019,TV-PG,1 Season,1,"International TV Shows, Reality TV, Spanish-Language TV Shows",International TV Shows,"On this competition show, novice bakers try to avoid a fiasco while duplicating stunning sweets. At stake are a trophy and 5,000 euros."
536,81017316,TV Show,Prank Encounters,,United States,2019,2019,TV-MA,1 Season,1,"Reality TV, TV Comedies, TV Horror",Reality TV,Monstrous frights meet hilarious reveals on this hidden-camera prank show as real people become the stars of their own full-blown horror movie.
539,81200228,TV Show,The Untamed,,China,2019,2019,TV-14,1 Season,1,"International TV Shows, TV Action & Adventure, TV Mysteries",International TV Shows,"In a magical world of inter-clan rivalry, two soulmates face treacherous schemes and uncover a dark mystery linked to a tragic event in the past."
540,70218316,TV Show,DreamWorks Spooky Stories,,United States,2018,2009,TV-PG,1 Season,1,"Kids' TV, TV Comedies",Kids' TV,"Shrek dares his friends to bring on the scary with ghost stories told in a haunted castle. Later, Ginormica and the Monsters face alien pumpkins."
541,80995073,TV Show,Queens vs. Kings,,,2018,2018,TV-14,1 Season,1,"Stand-Up Comedy & Talk Shows, TV Comedies",Stand-Up Comedy & Talk Shows,"No ""ism"" is left unturned in this celebrity game show that battles stereotypes and sexism by pitting male and female comedians against each other."
546,80197462,TV Show,Daybreak,,United States,2019,2019,TV-MA,1 Season,1,"TV Action & Adventure, TV Comedies, TV Horror",TV Action & Adventure,"Living his best life in post-apocalyptic LA, a slacker strives to find the girl of his dreams while outwitting mindless ghouls and cliquish gangs."
550,80235864,TV Show,Bodyguard,,United Kingdom,2018,2018,TV-MA,1 Season,1,"British TV Shows, Crime TV Shows, International TV Shows",British TV Shows,"After helping thwart a terrorist attack, a war veteran is assigned to protect a politician who was a main proponent of the very conflict he fought in."
552,80135414,TV Show,The Mist,,United States,2017,2017,TV-MA,1 Season,1,"TV Dramas, TV Horror, TV Mysteries",TV Dramas,"Trapped by a mysterious fog, residents of a Maine village discover that it hides nightmarish creatures. A new series based on Stephen King's novella."
554,70258566,TV Show,DreamWorks Spooky Stories: Volume 2,,,2012,2011,TV-PG,1 Season,1,"Kids' TV, TV Comedies",Kids' TV,"The Shrek characters parody the music video ""Thriller""; B.O.B. and pals battle zombie carrots; and Megamind faces the effects of the Button of Doom."
556,81038022,TV Show,"Breakfast, Lunch & Dinner",,United States,2019,2019,TV-MA,1 Season,1,Docuseries,Docuseries,"Chef David Chang takes his insatiable curiosity about food, culture and identity on the road, in the convivial company of fun-loving celebrity guests."
560,81017545,TV Show,Here to Heart,,China,2018,2018,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows,Wen Nuan signs on to work as the executive assistant to ex Zhan Nanxian at his tech firm. Helping him at work just may lead her back into his heart.
580,80169350,TV Show,The Liar,,,2017,2013,TV-14,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,"At the CARE detective agency, investigators see a lot of action but must always keep their cases secret, even when it affects their personal lives."
581,80066079,TV Show,Containment,,United States,2016,2016,TV-14,1 Season,1,"TV Dramas, TV Thrillers",TV Dramas,"When a ferocious contagion sweeps through Atlanta, authorities impose a precarious quarantine on the city while scrambling to find a cure."
589,80184569,TV Show,The Day I Met El Chapo,,United States,2017,2017,TV-MA,1 Season,1,"Crime TV Shows, Docuseries, International TV Shows",Crime TV Shows,"Mexican superstar actress Kate del Castillo reveals the untold story of her encounter with El Chapo Guzm_¡n, the world__ most-wanted drug lord."
591,80222133,TV Show,Border Patrol,,,2019,2016,TV-PG,1 Season,1,Reality TV,Reality TV,This reality TV series follows the men and women of New Zealand's border patrol in their quest to keep their country safe and secure.
592,81029301,TV Show,Botched Up Bodies,,United Kingdom,2019,2013,TV-MA,1 Season,1,"British TV Shows, Docuseries, International TV Shows",British TV Shows,"From lifting saggy skin to repairing shoddy breast enhancements, plastic surgeons tackle extreme fixer-uppers."
593,81025218,TV Show,Bringing Sexy Back,,,2019,2015,TV-14,1 Season,1,"International TV Shows, Reality TV",International TV Shows,"In this reality series, everyday individuals adopt healthier lifestyles and transform their bodies to reclaim their confidence _ with dramatic results."
594,81025251,TV Show,Court Justice,,Australia,2019,2017,TV-MA,1 Season,1,"Crime TV Shows, Docuseries, International TV Shows",Crime TV Shows,"In a bustling local court in Sydney, 12 magistrates preside over different levels of criminal offenses and deliver life-changing verdicts."
595,80224490,TV Show,Diva Brides,,,2019,2017,TV-MA,1 Season,1,"British TV Shows, Reality TV",British TV Shows,"In this reality series, brides-to-be stop at nothing to have their dream weddings despite meager funds, fallouts with friends or even absent grooms."
